Nr.;Bezeichnung Anforderung;Beschreibung / Erläuterung der Anforderung;Bemerkung bbv (intern)
1.1.17;Analytics & Feedback;Erfassung von Nutzungsdaten (anonymisiert) und Bereitstellung von Feedback-Möglichkeiten zur kontinuierlichen Qualitätsverbesserung des Chatbots;"analog 1.1.9 / resp. Was ist der Unterschied?
Frage"
1.1.18;Rechtssicherheit;Quellenangabe, Versionskontrolle und Aktualitätsgarantie für sich für sich ändernde Gesetze / Verordnungen, Reglemente, etc.h ;Garantie kann nicht vom Tool gegeben werden, sonder nmuss von der Quelle kommen, wenn diese automatisiert ist, möglich und bedingt ein ReTraining.
1.1.19;Konfidenzwerte;Anzeige der Unsicherhet oder des Konfidenzgrades der KI-Vorschläge für Sachbearbeiter / Einwohner;tbd / in Zusammenhang mit 1.1.16
1.1.20;Umgang mit fehlerhaftten Daten;Fähigkeit der KI, mit Datenszenarien (fehlerhaft, fehlend, widersprüchlich) umzugehen und entsprechende Rückfragen oder Fehlerhinweise zu generieren;Abhängig von der Genauigkeit des beschreibenen Prozesses und der darin verankerten MUST-Data, sowie deren Qualitätskriterien.
1.1.21;Dokumentenanalyse;KI-Fähgigkeit zur Extraktion relevanter Informationen aus unstrukturierten Dokumenten (Antragsformulare, Beilagen, Pläne) mittels OCR, NLP und Computer Vision für die definierten Dokumententypen (z.B. auch OCR von einem JPEG, sofern die Auflösung genügend gross);Architektur -> Docling
1.1.22;Expertensystem-Anbindung;Kombination von KI mit regelbasierten Systemen, um komplexe rechtliche oder regulatorische Logiken abzubilden;tbd / sollten wir aus dem Avenir Case kennen
1.1.23;Vorschlags-generierung;KI schlägt basierend auf Eingabedaten und relevanten Regeln plausible Entscheidungen oder notwendige nächste Schritte vor;tbd / sollten wir aus dem Avenir Case kennen
;;;
#REF!;Bezeichnung;Funktionale Kriterien aus Benutzerperspektive;
1.2.1;Context Awareness;Die Lösung berücksichtigt den Kontext früherer Fragen und Antworten innerhalb einer Sitzung, um kohärente und kontextbezogene Interaktionen zu ermöglichen;Agentendefinition / Agent-Workflow
1.2.2;Context Awareness;Konfiguration des Zeitraumes der Aufbewahrung / Vorhaltung kontextbezogener Daten für Nutzerinteraktionen;tbd
1.2.3;Dashboard;Die Lösung berücksichtigt den Kontext früherer Fragen und Antworten innerhalb einer Sitzung, um kohärente und kontextbezogene Interaktionen zu ermöglichen;checken was mit Dashboard gemeint ist / da analog 1.2.1
1.2.4;Eingabe;Die Plattform bietet Benutzern die Möglichkeit, über Prompting direkt mit dem Large Language Model (LLM) zu interagieren, um Anfragen zu stellen, Informationen abzurufen oder Aufgaben zu erledigen;Aufgaben zu erledigen? bedeutet ich gestalte einen Prozess und ich speichere Daten?
1.2.5;Eingabe;Die Plattform ermöglicht es Benutzern, über Spracheingabe (Audio) mit dem Large Language Model (LLM) zu interagieren, um eine barrierefreie und nutzerfreundliche Kommunikation zu gewährleisten.Folgende archivtaugliche Dateiformate werden unterstützt: WAV, MP3, AIFF, FLAC, ALAC;tbd
1.2.6;Eingabe;Die Plattform ermöglicht die Eingabe von PDF-Dateien per Drag-and-Drop in den Prompt. Mit den enthaltenen Informationen soll interagiert werden können. Folgende Dateiformate werden unterstützt: PDF 1.x, PDF 2.x,  PDF/A-1, PDF/A-2 ;Beschrieb Unterstützte Formate / Allgemein AI Hub
1.2.7;Eingabe;Die Plattform unterstützt die Eingabe weiterer Dateitypen (neben PDFs) per Drag-and-Drop in den Prompt. Die folgenden archivtauglichen Formate werden untersützt: TXT, CSV, TIFF, JPEG, JPEG2000, SVG, EPS, XML, EML. Ferner werden die folgenden Typen unterstützt: DOCX, ODT, PPTX, ODP,PNG. Mit den enthaltenen Informationen soll interagiert werden können;Beschrieb Unterstützte Formate / Allgemein AI Hub
1.2.8;Eingabe;Die Lösung bietet die Möglichkeit, die letzte Benutzereingabe nachträglich anzupassen und die Antwort des LLM neu zu generieren, um Fehler zu korrigieren oder die Interaktion zu verbessern;macht man das so, oder präzisiert man nicht einfach?
1.2.9;Eingabe;Benutzer können Fragen in Freitext stellen, die von der Lösung mittels Intent Recognition (Absichtserkennung) verstanden und korrekt verarbeitet werden;tbd
1.2.10;Export / Print;Der Benutzer kann einen Chat-Verlauf exportieren oder ausdrucken;und dies inkl. sauberer Darstellung, ist heute nur bedingt möglich
1.2.11;Intent Recognition;Die Plattform muss Freitext-Fragen der Benutzer verstehen können und entsprechend darauf reagieren;analog 1.2.9
1.2.12;Quellverweise;Die Lösung muss bei den Antworten Quellverweise angeben. Die Quellverweise können direkt aufgerufen werden.;Funktionalitäten AI Hub / Nachvollziehbarkeit
1.2.13;Quellverweise;Bei Wechsel der Plattform (z.B. durch Klicken eines Links auf Quellverweise) muss eine Warnung angezeigt werden, dass die Plattform verlassen wird (GDPR Compliance);tbd
1.2.14;Quellverweise;Sicherstellung, dass externe Quellangaben (mit Links) entsprechend sicher sind;Beschrieb Security / Allgemein AI Hub
1.2.15;Session History;Die Plattform muss Benutzern die Möglichkeit bieten, ihre Sitzungshistorie einzusehen und frühere Sitzungen wieder zu aktivieren und weiterzuverwenden;Funktionalitäten AI Hub / Nachvollziehbarkeit
1.2.16;Session History;Vergangene Sessions können manuell aus der History gelöscht werden;tbd
1.2.17;Profil History;Das gesamte Profil der LLM-Interaktion kann gelöscht werden. Sicherstellung des entsprechenden Löschprozesses auch wenn ein Benutzerkonto gelöscht wird;ergo durch den Benutzer aber auch automatisch wenn ein Benutzer gelöscht wird
1.2.18;Sprachen;Das System ermöglicht es Benutzern, mindestens in Deutsch und Englisch mit dem Large Language Model (LLM) zu interagieren, um eine breite Nutzbarkeit sicherzustellen;ist die Datenqueele dann auch auf Englisch verfügbar oder muss jeweils Übersetzt werden / wenn èbersetzung wie gehen wir mit den Fachbegriffen um?
1.2.19;Sprachen;Das Large Language Model (LLM) unterstützt Übersetzungen und bietet dabei eine Qualität, die vergleichbar mit etablierten Lösungen wie DeepL ist;"Welche Sprachen sind zu unterstützen?
Frage"
1.2.20;Transkribtion;Das Large Language Model (LLM) bietet eine Transkriptionsfunktion, die in der Lage ist, Meetings in Mundart präzise in Text umzuwandeln;tbd
1.2.21;White Labeling;Die Plattform unterstützt ein White Labeling und kann an das CI/CD der jeweiligen Benutzergruppe angepasst werden;tbd
;;;
#REF!;Nicht funktionale Anforderungen;;
#REF!;Bezeichnung;Allgemeine Anforderungen;
2.1.1;Performance;Die Leistung der Lösung darf im Vergleich zu führenden Large Language Models (LLMs) kein Hindernis für die Nutzung darstellen. Sie muss eine vergleichbare Latenz, Antwortgeschwindigkeit und Skalierbarkeit bieten, um eine nahtlose Nutzererfahrung zu gewährleisten;Beschrieb Performance / Allgemein AI Hub
2.1.2;Sicherheit;Die Lösung implementiert Sicherheitsprotokolle wie SSL/TLS und gewährleistet eine Ende-zu-Ende-Verschlüsselung während der Datenübertragung, um die Integrität und Vertraulichkeit der Daten zu schützen;Beschrieb Security / Allgemein AI Hub
2.1.3;Sicherheit;Die Lösung überprüft und durchsucht während des Ingest-Prozesses die angezogenen Daten nach Gefahrenquellen, Malware sowie APT und verhindert deren falls notwendig deren Ingest;Beschrieb Security / Allgemein AI Hub
2.1.4;Skalierbarkeit;Die Lösung ist skalierbar konzipiert, um den Ausbau bei der Integration weiterer Organisationseinheiten zu unterstützen, ohne dabei Leistung oder Funktionalität zu beeinträchtigen;Beschrieb Performance / Allgemein AI Hub
2.1.5;Zugriffsrechte;Ein rollenbasiertes Benutzermodell steuert den Zugriff auf die angebundenen Datenquellen (z. B. im Rahmen von Retrieval-Augmented Generation, RAG), um sicherzustellen, dass nur autorisierte Nutzer auf spezifische Daten zugreifen können;"Nicht nur rollen sondern auch Content / wie feingranular und wer verwaltet dies?
WhiteList?"
2.1.6;Ethik und Verantwortlichkeit;"Biasmonitoring, Datenkuratierung und Erkennung von ""Modell Drifts"" und / oder Verzerrungen";tbd
2.1.7;Ethik und Verantwortlichkeit;Human-in-the-Loop-Mechanismen. Menschliche Überprüfungs- und Korrekturmöglichkeit. Einstellbarkeit bezüglich Assistierung / Entscheidung durch KI;tbd
2.1.8;Ethik und Verantwortlichkeit;Berücksichtigung nationaler und internationaler ethischer Leitlinen für KI im öffentlichen Sektor (AI-Konvention Europarat, Schweizerische AI-Leitlinien, AI Act der EU);tbd
2.1.9;Resilienz;Robuste Disaster-Recovery-Strategien;Beschrieb Betrieb / Allgemein AI Hub
2.1.10;Penetrationstests;Regelmässige Überprüfung der Plattform mittels Penetrationstests und Sicherheitsaudits durch unabhängige Dritte;Betrieb / Haben wir schon mal gemacht?
2.1.11;Explainable AI;Nachvollziehbarkeit von Funktionsweise und Entscheidungen. Dokumentation der KI-Modelle, der Trainingsdaten und der Funktionsweise;tbd
2.1.12;Robustheit;Systeme müssen stabil und zuverlässig funktionieren, auch unter unerwarteten Eingaben oder Bedingungen;tbd
2.1.13;Wartung und Weiterentwicklung;Kontinuierliche Wartung, Updates und Weiterentwicklung der Plattform und der Modelle. Möglichkeite zur Anpassug an neue regulatorische Anorderungen und technologische Entwicklungen;tbd
2.1.14;Skalierbarkeit;Die Plattform mus mit wachsenden Datenmengen und Nutzerzahlen skalieren können;Beschrieb Performance / Allgemein AI Hub
2.1.15;Monitoring;Tools für das Monitoring der Plattformleistung, der KI-Modelle und der Ressourcennutzung;Beschrieb Betrieb / Allgemein AI Hub
2.1.16;Nutzung bestehender Microsoft Copilot Lizenzen;Die Anbieter inbeschreibt, wie die vorgeschlagene Lösung Synergien mit bereits vorhandenen Microsoft-365-Copilot-Lizenzen schaffen kann. Dabei sind insbesondere die Vermeidung von Doppelspurigkeiten, die Möglichkeit zur Kostenoptimierung durch geschickte Integration sowie die Flexibilität, Copilot-Funktionalitäten optional einzubinden oder zu kombinieren, zu berücksichtigen;tbd
2.1.17;Modularität;Plattform soll modular aufgebaut sei, um verschiedene KI-Modelle und Use Cases zu unterstützen und spätere Erweiterungen zu ermöglichen. Trennung und Isolation von Daten aus verschiedenen Quellen und Use Cases;Beschrieb Architektur / allgemein AI Hub
;;;
#REF!;Bezeichnung;Regulatorische Anforderungen;
2.2.1;Datenschutz;Die Plattform ermöglicht einen datenschutzkonformen Betrieb nach neuem Datenschutzgesetz revDSG ;tbd
2.2.2;Zertifizierung;Die Anbieterin ist ISO 27017 zertifiziert (Verfahren für Cloud Services);check haben wir und Softcom nicht
2.2.3;Zertifizierung;Die Anbieterin ist ISO 27001:2022 zertifiziert (ISMS);check haben wir und Softcom nicht
2.2.4;Zertifizierung;Der Hoster ist ISO 27018 zertifiziert (Persönlichkeitsschutz in öffentlichen Clouds);to be checked
2.2.5;Zertifizierung;Der Hoster ist ISO 27701 zertifiziert (Datenschutz);to be checked
2.2.6;Datenschutz;Die Lösung integriert Privacy-by-Design: Datenschutz ist bereits in der Architektur verankert;tbd
2.2.7;Datenschutz;Transparenz und Nachvollziehbarkeit: Betroffene müssen ihre Rechte (Auskunft, Berichtigung, Löschung) wahrnehmen können. Wo nötig, muss informierte Einwilligung eingeholt werden können;Opt in / plus SelfManagment
2.2.8;Datenintegrität;Die Lösung bietet Mechanismen zur Sicherstellung der Datenintegrität und -konsistenz;Beschrieb Security / Allgemein AI Hub
;;;
#REF!;Bezeichnung;Technologie und Hosting;
2.3.1;Hosting Cloud;Der Lieferant kann die Plattform auf einem in der Schweiz gehosteten Cloud-Service bereitstellen;Beschrieb Betrieb / Allgemein AI Hub
2.3.2;Hosting On-Premise;Der Lieferant kann die Plattform als On-Premise-Lösung bereitstellen. Die aktuellen Regeln für die Systemintegration bezgl. RDBMS werden unterstützt: MSSQL, Oracle, PostgreSQL;Beschrieb Betrieb / Allgemein AI Hub
2.3.3;Interoperabilität;Das Chat-Widget ist WCAG 2.1 AA-konform und gewährleistet damit Barrierefreiheit für alle Nutzer;Beschrieb Architektur / allgemein AI Hub
2.3.4;Interoperabilität;Die Plattform bietet ein integrierbares Chat-Widget für Webseiten, das Endnutzern die Interaktion mit dem LLM ermöglicht. Die Integration erfolgt über APIs oder SDKs und unterstützt Echtzeit-Kommunikation;Beschrieb Architektur / allgemein AI Hub
2.3.5;Interoperabilität;Die Lösung ist LLM-agnostisch und kann mit verschiedenen Large Language Models (LLMs) integriert werden, unabhängig vom Anbieter oder der zugrunde liegenden Technologie;Beschrieb Architektur / allgemein AI Hub
2.3.6;Logging;Das System ermöglicht eine detaillierte Protokollierung aller Systemaktivitäten und Ereignisse, einschliesslich Zeitstempeln, Benutzeraktionen und Systemantworten, zur Sicherstellung von Transparenz und Nachvollziehbarkeit (s. 1.1.5);Beschrieb Security / Allgemein AI Hub
2.3.7;Protokollierung;Die Lösung stellt ein responsives und mobilfähiges grafisches Benutzerinterface (GUI) bereit, das als Webanwendung oder native App umgesetzt ist und eine optimierte Nutzererfahrung auf allen Endgeräten gewährleistet;Beschrieb Usability / Allgemein AI Hub
2.3.8;Services;Das System gewährleistet eine Verfügbarkeit (Uptime) von mindestens 99.5 % pro Jahr, um eine zuverlässige und unterbrechungsfreie Nutzung sicherzustellen;Beschrieb Betrieb / Allgemein AI Hub
2.3.9;Wartung;Das System ist leicht wartbar und ermöglicht einfache Updates, einschließlich der Integration neuer Funktionen, Sicherheitspatches und Modellverbesserungen, ohne den laufenden Betrieb zu beeinträchtigen;Beschrieb Betrieb / Allgemein AI Hub
2.3.10;Zugriffsrechte;"Die Lösung unterstützt die Anbindung an ein Active Directory, um eine nahtlose Integration in bestehende Benutzerverwaltungssysteme und eine zentrale Authentifizierung zu ermöglichen. Die Lösung muss über folgende Protokolle an einen zentralen Verzeichnisdienst angebunden werden können.
- Backend für Administratoren: 
  On-Prem Betrieb: Kerberos, SAML oder OIDC
  Cloud-Betrieb: OIDC, SAML
- Frontend für (interne) Benutzer (Cloud und On-Prem): OIDC; SAML
- Frontend für eGOV Portalintegration: (Cloud und On-Prem): OIDC via IdP und AGOV, später eID

Der Einsatz von Legacy-Protokollen wie z.B. LDAP/LDAPS oder NTLMv2 ist nicht zugelassen. 
Sämtliche Zugriffsformen müssen (über einen Dritt-IdP) MFA, Passkeys und Conditional Access unterstützen. Die Integration von AGOV und eID ist für den Zugriff via eGOV Portalen für die Öffentlichkeit vorgesehen ";Beschrieb Security / Allgemein AI Hub
2.3.11;LLM-Infrastruktur;Das LLM muss auf einer isolierten und sicheren Infrastruktur betrieben werden, so dass keine Daten des öffentlichen Sektors an Dritte gelangen können;Beschrieb Betrieb / Allgemein AI Hub
2.3.12;LLM-Infrastruktur;Skalierbare Container-Orchstrierung (Kubernetes);Beschrieb Architektur / allgemein AI Hub
2.3.13;LLM-Infrastruktur;Sicherstellung von Versionierungs- und Rollback-Mechnismen für Modelle;Beschrieb Betrieb / Allgemein AI Hub
2.3.14;LLM-Infrastruktur;Sicherstellung einer Multi-Tenant-Architektur für die verschiedenen Nutzereinheiten;Beschrieb Security / Allgemein AI Hub
2.3.15;Datenintegration;OCR-Fähigkeit für eingescannte Dokumente;Beschrieb Unterstützte Formate / Allgemein AI Hub
2.3.16;Datenintegration;Vollumfängliche Volltext-Suchindexierung für alle relevanten Dokumente und Datenquellen (z.B. Webseiteninhalte, regulatorische Informationen, Archivdaten);Beschrieb allg. Funktionalitäten / Allgemein AI Hub
2.3.17;Datenintegration;Metadaten-Management für Datenarchive, welche die strukturierte Erfassung, Speicherung und Verwaltung von beschreibenden, administrativen und technischen Metadaten ermöglicht;Beschrieb allg. Funktionalitäten / Allgemein AI Hub
2.3.18;Chatbot-Framework;Bereitstellung integrierter A/B-Testing Funktionalitäten, die das parallele Testen verschiedener Versionen von KI-Modellen, Chatbot-Antworten oder Benutzeroberflächenelementen ermöglichen;tbd
2.3.19;Chatbot-Framework;Eskalationsoption zu menschlichen Sachbearbeiten, falls gewünscht / notwendig;Beschrieb allg. Funktionalitäten / Allgemein AI Hub
2.3.20;Offenheit und Modularität;Die Plattform darf keine rein proprietäre Lösung darstellen und muss auf offenen Standards basieren. Sie hat die Möglichkeit zur Integration von Open-Source-Modulen und -Komponenten zu unterstützen. Die Architektur ist so auszugestalten, dass ein Austausch einzelner Systembausteine (z. B. LLMs, Datenbanken, Schnittstellen) ohne Herstellerbindung möglich ist;Beschrieb Architektur / allgemein AI Hub
2.3.21;LLM-Infrastruktur;Integrationsmöglichkeit in bestehende und zukünftige e-Government Portale (CMI Axioma, RMS Gever, Fachbereiche Bau, Steuern und Geschäftsverwaltung). Die Integration hat über vom Auftraggeber zur Verfügung gestellte API-Gateways zu erfolgen. Authentisierungsformen: API-Keys, JWT, Oauth 2, OIDC, mTLS;Beschrieb Architektur / allgemein AI Hub
;;;
#REF!;Bezeichnung;Service-Leistungen Anbieter;
2.4.1;Services;Der Anbieter verfügt über nachweisbare Expertise im Aufbau domänenspezifischer Agents und kann Referenzen oder Fallbeispiele für erfolgreiche Implementierungen vorlegen.;Beschrieb Referenzen / Allgemein AI Hub
2.4.2;Services;Der Anbieter stellt einen technischen Support bereit, der während der Implementierung und des Betriebs verfügbar ist, um Fragen zu beantworten und Probleme zu lösen.;Beschrieb Support / Allgemein AI Hub
2.4.3;Services;Der Anbieter wendet eine adaptive und agile Vorgehensmethodik an, um flexibel auf Anforderungen zu reagieren und iterative Verbesserungen während des Projekts zu ermöglichen.;Beschrieb Projektmethodik / Allgemein AI Hub
2.4.4;Rechenschaftspflicht;Klare Verantwortlichkeiten für Betrieb, Wartung sowie ergebnisse der KI-Systeme;Beschrieb Support / Allgemein AI Hub
2.4.5;Erfahrung öffentliche Hand;Nachweisbare Erfahrung in der Zusammenarbeit mit öffentlichen Institutionen und deren spezifischen Anforderungen;Beschrieb Referenzen / Allgemein AI Hub
2.4.6;Schulung / Know-how Transfer;Bereitstelltung einer umfassenden Dokumenteation und Wissensdatenbank. Angebot zur umfassenden Schulung der Mitarbeiter in den verschiedenen Rollen;Beschrieb Projektmethodik / Allgemein AI Hub
